winery,mean_winery
Azienda Agricola Milazzo,17.0
Azur,25.5
Año Verde,27.0
Añoro,26.0
B Cellars,50.84375
B Side,30.0
B Vintners,24.0
B&E;,30.0
B. Leighton,45.8
B. Lovely,7.0
B.R. Cohn,30.65
BBQ Wine Company,33.0
BKB,30.0
Babcock,43.25373134328358
Babich,44.75
Baby Bear,54.0
Bacalhôa Wines of Portugal,21.553571428571427
Baccinetti,36.875
Bach,27.0
Bachelder,29.0
Bacigalupi,39.0
Bacio Divino,57.0
Bacio della Luna,31.6
Back Seat,18.0
Backhouse,9.0
Backsberg,25.785714285714285
Backstage Winery,79.0
Badger Hound,16.0
Badger Mountain,21.0
Badia a Coltibuono,29.714285714285715
Badia di Morrona,26.285714285714285
Baehner Fournier,29.4
Baer,37.81481481481482
Baglio Curatolo Arini 1875,14.25
Baglio del Cristo di Campobello,30.72
Baglio di Pianetto,24.571428571428573
Bagrationi 1882,20.666666666666668
Bagueri,30.5
Baica,28.5
Baigorri,37.857142857142854
Bailarin,40.0
Baileyana,32.6
Bailiwick,36.56
Bailli de Bourg,20.0
Bailli de Provence,13.2
Bailly-Lapierre,40.16129032258065
Baily,34.2
Bain's Way,16.0
Baiocchi Wines,34.46666666666667
Baiting Hollow Farm Vineyard,24.8
Baja Tanga,23.0
Baker & Brain,33.72222222222222
Baker Lane,37.857142857142854
Balancing Act,19.5
Balbas,38.5
Balboa,36.92857142857143
Baldacci,73.86666666666666
Baldassari Family Wines,31.833333333333332
Balderdash,31.0
Baldetti Alfonso,26.5
Baldi,37.333333333333336
Balduzzi,14.882352941176471
Balestri Valda,20.0
Balgownie Estate,37.333333333333336
Balia di Zola,26.0
Ballancin,16.0
Ballard Lane,19.0
Ballast Stone Estate Wines,20.0
Ballatore,21.0
Ballentine,29.806451612903224
Balletto,29.82758620689655
Balma Venitia,17.333333333333332
Balnaves of Coonawarra,46.0
Balo,30.125
Balthasar Ress,25.714285714285715
Balverne,24.636363636363637
Bandit,13.333333333333334
Banear,22.5
Banero,18.0
Banfi,34.41935483870968
Banknote,33.0
Banrock Station,10.166666666666666
Banshee Wines,32.0
Banyan,26.0
Bar Dog,16.0
Baracchi,35.666666666666664
Baracchi Riccardo,39.5
Barahonda,32.0
Barale Fratelli,67.58333333333333
Barba,18.142857142857142
Barbed Wire,20.5
Barber,23.0
Barberani,25.055555555555557
Barbieri,40.15384615384615
Barbour,100.0
Barboursville Vineyards,32.48148148148148
Barbàcan,29.0
Barcino,33.0
Barden,41.3
Bardessono,44.5
Barefoot,16.8125
Barefoot Bubbly,24.6
Barefoot Cellars,17.666666666666668
Barefoot Refresh,18.5
Bargetto,32.64102564102564
Barham Mendelsohn,53.0
Baricci,37.25
Barinas,17.0
Barista,18.0
Barkan,30.666666666666668
Barker's Marque,18.733333333333334
Barking Frog,31.5
Barking Sheep,10.0
Barlow,41.333333333333336
Barnard Griffin,22.0
Barnett,57.666666666666664
Barnstormer,20.142857142857142
Baron Albert,106.0
Baron Cooper,17.5
Baron De Ley,30.63157894736842
Baron Ermengaud,31.0
Baron Gassier,19.0
Baron Herzog,16.5
Baron Knyphausen,35.8421052631579
Baron Philippe de Rothschild,17.48148148148148
Baron Widmann,28.0
Baron d'Arignac,12.0
Baron de Escal,15.0
Baron di Pauli,39.666666666666664
Baron-Fuenté,62.63636363636363
Baroncini,15.0
Barone,14.0
Barone Cornacchia,20.0
Barone Fini,19.0
Barone Montalto,17.333333333333332
Barone Pizzini,49.68421052631579
Barone Ricasoli,41.35294117647059
Barone Sergio,19.0
Barone di Villagrande,28.333333333333332
Baronet,20.0
Barons,36.0
Barons Edmund Benjamin de Rothschild,44.0
Barons V,36.25
Barossa Valley Estate,34.0
Barra,21.4
Barra of Mendocino,18.53846153846154
Barrack,38.0
Barraco,28.5
Barrage Cellars,36.375
Barratt,61.0
Barrel Oak,28.666666666666668
Barrel Racer,19.166666666666668
Barrel Ranch,26.0
Barrel Road,20.0
Barren Ridge,19.5
Barreto,29.333333333333332
Barrister,37.81481481481482
Barrière Frères,17.25
Barros,77.0
Barrymore,20.5
Barrymore by Carmel Road,22.0
Barta,37.0
Bartali,17.5
Bartalotti,78.0
Bartenura,16.0
Bartholomew Park,59.666666666666664
Barton,33.2
Barton & Guestier,17.73913043478261
Bartz-Allen,41.666666666666664
Barzagoso,23.0
Barão de Vilar,40.75
