variety,mean_variety
Rabigato,32.5
Raboso,33.6
Ramisco,715.0
Rara Neagra,22.0
Rebo,27.0
Rebula,23.666666666666668
Red Blend,33.32229856339788
Refosco,24.5
Rhône-style Red Blend,33.42440119760479
Rhône-style White Blend,27.795336787564768
Ribolla Gialla,25.253333333333334
Rieslaner,38.75
Riesling,28.28736122971819
Riesling-Chardonnay,36.0
Rivaner,19.0
Rkatsiteli,21.59375
Robola,26.25
Roditis,26.0
Roditis-Moschofilero,17.0
Rolle,22.75
Romorantin,29.333333333333332
Rosado,12.945945945945946
Rosato,18.058823529411764
Rosenmuskateller,230.0
Rosé,18.49655388471178
Roter Traminer,30.333333333333332
Roter Veltliner,33.0
Rotgipfler,28.4
Roussanne,28.49056603773585
Roussanne-Grenache Blanc,28.0
Roussanne-Marsanne,27.0
Roussanne-Viognier,30.46153846153846
Roviello,36.0
Ruché,26.818181818181817
Rufete,20.0
Ryzlink Rýnský,40.0
Sacy,18.0
Sagrantino,52.60674157303371
Sangiovese,38.74147853032315
Sangiovese Cabernet,40.333333333333336
Sangiovese Grosso,67.86785714285715
Sangiovese-Cabernet Sauvignon,27.833333333333332
Sangiovese-Syrah,40.8
Saperavi,22.612903225806452
Saperavi-Merlot,23.0
Sauvignon,26.329896907216494
Sauvignon Blanc,21.897972389991374
Sauvignon Blanc-Assyrtiko,27.0
Sauvignon Blanc-Chardonnay,26.833333333333332
Sauvignon Blanc-Chenin Blanc,20.0
Sauvignon Blanc-Semillon,24.92063492063492
Sauvignon Blanc-Verdejo,13.75
Sauvignon Gris,17.0
Sauvignon Musqué,36.0
Sauvignon-Sémillon,13.0
Sauvignonasse,31.0
Savagnin,48.4
Savatiano,25.2
Scheurebe,44.608695652173914
Schiava,22.17391304347826
Schwartzriesling,30.0
Sciaccerellu,30.0
Semillon-Chardonnay,23.6
Semillon-Sauvignon Blanc,29.106382978723403
Sercial,80.0
Seyval Blanc,16.133333333333333
Sherry,51.04494382022472
Shiraz,37.72622107969152
Shiraz-Cabernet,33.0
Shiraz-Cabernet Sauvignon,25.393939393939394
Shiraz-Grenache,30.272727272727273
Shiraz-Malbec,32.0
Shiraz-Mourvèdre,28.666666666666668
Shiraz-Roussanne,37.0
Shiraz-Tempranillo,8.5
Shiraz-Viognier,41.14705882352941
Sideritis,24.0
Siegerrebe,20.0
Silvaner,23.482758620689655
Silvaner-Traminer,27.0
Siria,18.363636363636363
Sirica,30.0
Sousão,33.375
Souzao,28.0
Sparkling Blend,39.905815748841995
Spätburgunder,52.8235294117647
St. Laurent,30.65714285714286
St. Vincent,24.0
Susumaniello,37.4
Sylvaner,23.67391304347826
Symphony,16.0
Syrah,36.56738683127572
Syrah-Bonarda,20.0
Syrah-Cabernet,33.93333333333333
Syrah-Cabernet Franc,66.5
Syrah-Cabernet Sauvignon,38.44444444444444
Syrah-Carignan,28.25
Syrah-Grenache,29.410714285714285
Syrah-Grenache-Viognier,40.0
Syrah-Malbec,28.0
Syrah-Merlot,26.285714285714285
Syrah-Mourvèdre,30.842105263157894
Syrah-Petit Verdot,41.0
Syrah-Petite Sirah,37.2
Syrah-Tempranillo,47.333333333333336
Syrah-Viognier,49.64705882352941
Sämling,39.0
Sémillon,26.272
Tamianka,22.0
Tamjanika,21.0
Tannat,29.379746835443036
Tannat-Cabernet,27.64
Tannat-Cabernet Franc,32.5
Tannat-Merlot,20.0
Tannat-Syrah,15.2
Tempranillo,27.829003021148036
Tempranillo Blanco,22.11111111111111
Tempranillo Blend,35.93613138686131
Tempranillo-Cabernet Sauvignon,21.565217391304348
Tempranillo-Garnacha,16.4375
Tempranillo-Merlot,19.666666666666668
Tempranillo-Shiraz,18.0
Tempranillo-Syrah,18.0
Tempranillo-Tannat,25.0
Teran,28.6
Teroldego,35.0625
Teroldego Rotaliano,19.0
Terrantez,356.0
Thrapsathiri,21.0
Timorasso,39.2
Tinta Amarela,30.0
Tinta Barroca,19.666666666666668
Tinta Cao,24.0
Tinta Fina,34.72727272727273
Tinta Francisca,42.666666666666664
Tinta Madeira,35.0
Tinta Miúda,20.0
Tinta Negra Mole,177.0
Tinta Roriz,32.1
Tinta de Toro,36.8
Tinta del Pais,49.0
Tinta del Toro,22.666666666666668
Tintilia ,34.0
Tinto Fino,47.329787234042556
Tinto Velasco,11.0
Tinto del Pais,30.133333333333333
Tocai,34.285714285714285
Tocai Friulano,25.42105263157895
Tokaji,72.18181818181819
Tokay,62.0
Tokay Pinot Gris,57.0
Torbato,26.0
Torontel,48.0
Torrontés,16.459016393442624
Touriga,38.666666666666664
Touriga Franca,27.0
Touriga Nacional,30.14792899408284
Touriga Nacional Blend,26.083333333333332
Touriga Nacional-Cabernet Sauvignon,21.346153846153847
Trajadura,19.0
Traminer,26.28125
Traminette,16.4
Trebbiano,24.95
Trebbiano Spoletino,23.6
Trebbiano di Lugana,34.333333333333336
Treixadura,19.333333333333332
